siRNA,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
SBF2 - scrambled,18,4,0.17562913044880563,unnormalised,03_CDK9,NA,1.11212508319723,0.9797429268019398,1.2623946209172032,0.15331906032739667,-0.029524842476667396,0.3361629631314609
SBF2 - scrambled,18 - Nucleus (combined),4,0.0017947076993705957,relative_to_Nucleus (combined),03_CDK9,4,0.8830514165519296,0.8543699382058004,0.9126957415097352,-0.17943065220627033,-0.22706720952436005,-0.1317940948881804
SBF2 - scrambled,Nucleus (combined),4,0.15205364141633432,unnormalised,03_RPS6,NA,0.8532376056575999,0.7154713008470739,1.0175312564548569,-0.22898054235922388,-0.483034196497263,0.02507311177881539
SBF2 - scrambled,17,4,0.2521246333099508,unnormalised,03_RPS6,NA,0.885429733455627,0.740795884434695,1.058302063172997,-0.17555027375706483,-0.43285201130291323,0.08175146378878352
SBF2 - scrambled,17 - Nucleus (combined),4,0.015055768174713581,relative_to_Nucleus (combined),03_RPS6,4,1.0377293822782416,1.019445700938454,1.056340980056371,0.053430268602159034,0.027784934674740854,0.07907560252957688
SBF2 - scrambled,Nucleus (combined),4,0.1526606107041948,unnormalised,03_RPS6,NA,0.8531951170566052,0.7151521335605581,1.017883990844017,-0.22905238591115068,-0.48367791735075283,0.02557314552845141
SBF2 - scrambled,7,4,0.566610350293506,unnormalised,03_RPS6,NA,0.9367236947045414,0.7627912204177006,1.1503164388027947,-0.0943045358661146,-0.3906398562874761,0.202030784555247
SBF2 - scrambled,7 - Nucleus (combined),4,0.003554666895854591,relative_to_Nucleus (combined),03_RPS6,4,1.097900909156744,1.0656811972032234,1.1310947490587469,0.13474785004503617,0.0917759146423024,0.17771978544776976
SBF2 - scrambled,Nucleus (combined),4,0.15248860692002522,unnormalised,03_RPS6,NA,0.8533185274994738,0.715439675690487,1.0177692601002506,-0.22884372231821812,-0.4830979676994282,0.02541052306299205
SBF2 - scrambled,16,4,0.21389570035350344,unnormalised,03_RPS6,NA,0.8788799933036926,0.7404434100590592,1.0431992940120682,-0.1862619089104101,-0.43353861615502404,0.06101479833420415
SBF2 - scrambled,16 - Nucleus (combined),4,0.01824281481048773,relative_to_Nucleus (combined),03_RPS6,4,1.0299553624824285,1.0146103459138973,1.0455324578331608,0.04258181340780805,0.02092577672162022,0.06423785009399582
SBF2 - scrambled,Nucleus (combined),4,0.1517879054819895,unnormalised,03_RPS6,NA,0.8530332611662892,0.7152168549884516,1.017405755444262,-0.22932609920062397,-0.4835473590348603,0.024895160633612662
SBF2 - scrambled,8,4,0.35785758574156706,unnormalised,03_RPS6,NA,0.9146151528996332,0.7727778041838703,1.0824856425542244,-0.12876327367375237,-0.37187443737739423,0.11434789002988947
SBF2 - scrambled,8 - Nucleus (combined),4,7.830924170127916e-4,relative_to_Nucleus (combined),03_RPS6,4,1.0721916653626702,1.0563472631569277,1.0882737215009908,0.10056282552687151,0.07908418363286435,0.12204146742087876
SBF2 - scrambled,Nucleus (combined),4,0.15199487758366484,unnormalised,03_RPS6,NA,0.8532530439857031,0.7155222363502587,1.0174956417629508,-0.228954438730236,-0.48293149247244277,0.025022615011970797
SBF2 - scrambled,1,4,0.19175828024774322,unnormalised,03_RPS6,NA,0.8675530764658641,0.7264574600124099,1.0360528756529366,-0.2049760711311168,-0.4610497760740112,0.051097633811777614
SBF2 - scrambled,1 - Nucleus (combined),4,0.024163135463316776,relative_to_Nucleus (combined),03_RPS6,4,1.0167594274417855,1.007427838158817,1.026177453246803,0.023978367599119248,0.01067650251609421,0.03728023268214426
SBF2 - scrambled,Nucleus (combined),4,0.1517349025449111,unnormalised,03_RPS6,NA,0.8532040736641026,0.7155401896367356,1.017353325306001,-0.22903724097520606,-0.48289529402728915,0.024820812076877342
SBF2 - scrambled,18,4,0.28236131314151214,unnormalised,03_RPS6,NA,0.8964974430557797,0.7544273793663709,1.0653214442993437,-0.15762862656895715,-0.40654606023262807,0.09128880709471414
SBF2 - scrambled,18 - Nucleus (combined),4,7.766414186517294e-4,relative_to_Nucleus (combined),03_RPS6,4,1.0507421034756115,1.0397160653371134,1.0618850711500518,0.07140861440624886,0.056189598503098646,0.08662763030939898
SBF2 - scrambled,Nucleus (combined),4,0.04244225693749276,unnormalised,04_MAPK1_pT202_T204,NA,1.4393409538626891,1.1289586968485874,1.8350559566522444,0.525408380946909,0.17499270582595478,0.8758240560678633
SBF2 - scrambled,17,4,0.05374814773631042,unnormalised,04_MAPK1_pT202_T204,NA,1.4012297064519663,1.0974886647554314,1.789034140667872,0.48669347910519506,0.1342060391815197,0.8391809190288703
SBF2 - scrambled,17 - Nucleus (combined),4,0.08614020717705861,relative_to_Nucleus (combined),04_MAPK1_pT202_T204,4,0.9735217376338486,0.9511822903249482,0.9963858487334266,-0.038714901841714035,-0.07220624050419402,-0.005223563179233949
