treatment,reference_level,df,p.value,comparison,channel,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl,cluster
AZD4573 (1h),Unperturbed,7,0.03730498209015655,unnormalised,02_CDK7,0.8680593299210853,0.779085344285417,0.9671944232941313,-0.20413444385614898,-0.36014671906096307,-0.04812216865133473,Cajal bodies
AZD4573 (1h),Unperturbed,7,0.04596561927409697,unnormalised,02_CDK7,1.1300490746639706,1.0235920881501528,1.2475779423585864,0.1763854259475514,0.033640901229101676,0.3191299506660013,Nuclear periphery
AZD4573 (1h),Unperturbed,7,0.020277216638139278,unnormalised,02_CDK7,0.83171973307519,0.7370386827015564,0.9385636475023028,-0.2658306336131079,-0.440187755245195,-0.09147351198102092,Nuclear speckles
AZD4573 (1h),Unperturbed,7,0.27160315586567946,unnormalised,02_CDK7,0.9231934796393029,0.8096353029461953,1.0526791479412094,-0.1152950603810706,-0.304655896906776,0.07406577614463472,Nucleolus
AZD4573 (1h),Unperturbed,7,0.03391590914981079,unnormalised,02_CDK7,0.8431475021471532,0.7424770017249276,0.9574676504799762,-0.24614305327964867,-0.4295817558578098,-0.0627043507014876,Nucleoplasm
AZD4573 (1h),Unperturbed,7,0.03097238554278393,unnormalised,02_CDK7,0.8512971063387591,0.757155794921047,0.9571435206889144,-0.2322653683400287,-0.40133791035106037,-0.06319282632899692,PML bodies
AZD4573 (1h),Unperturbed,7,2.98796368752842e-6,unnormalised,03_CDK9,0.3655172047202148,0.3155616583884906,0.4233810521492439,-1.451988780145041,-1.6640061703126894,-1.2399713899773928,Cajal bodies
AZD4573 (1h),Unperturbed,7,2.5942182842229467e-7,unnormalised,03_CDK9,0.42112585828137084,0.38553301452324645,0.4600046736140875,-1.2476766312327832,-1.3750736864991908,-1.1202795759663755,Nuclear periphery
AZD4573 (1h),Unperturbed,7,2.183849418010609e-6,unnormalised,03_CDK9,0.3255546998920457,0.2784037272076479,0.38069124894563716,-1.6190281286610422,-1.844749569088669,-1.3933066882334155,Nuclear speckles
AZD4573 (1h),Unperturbed,7,1.736760809562686e-5,unnormalised,03_CDK9,0.4524499333455767,0.38919000592157926,0.5259922892924067,-1.1441699378524548,-1.3614534315116593,-0.9268864441932504,Nucleolus
AZD4573 (1h),Unperturbed,7,4.943645128659348e-6,unnormalised,03_CDK9,0.37867644404262313,0.32502597772529096,0.44118273338127695,-1.4009624152015387,-1.6213730646302777,-1.1805517657727997,Nucleoplasm
AZD4573 (1h),Unperturbed,7,3.52776259113373e-6,unnormalised,03_CDK9,0.36464219191577685,0.31354548602171256,0.42406583431385986,-1.4554465929015583,-1.6732533450090064,-1.2376398407941105,PML bodies
AZD4573 (1h),Unperturbed,7,0.26459590369215963,unnormalised,03_RPS6,0.9394676103179477,0.8492814773344728,1.0392307078291791,-0.09008467165521214,-0.23568530948054092,0.05551596617011654,Cajal bodies
AZD4573 (1h),Unperturbed,7,0.2657643369665322,unnormalised,03_RPS6,0.9735374015615236,0.9321308446571289,1.0167832956839753,-0.03869168912020698,-0.10139561244509011,0.0240122342046761,Nuclear periphery
AZD4573 (1h),Unperturbed,7,0.14938127791137673,unnormalised,03_RPS6,0.9196684344495997,0.8310279654723866,1.0177636186312935,-0.12081427088475137,-0.26703106798864806,0.025402526219145617,Nuclear speckles
AZD4573 (1h),Unperturbed,7,0.0054687447981336375,unnormalised,03_RPS6,0.8318296590174107,0.7593571317111623,0.9112189149547834,-0.2656399694672863,-0.397149538665927,-0.13413040026864542,Nucleolus
AZD4573 (1h),Unperturbed,7,0.06760548730492787,unnormalised,03_RPS6,0.8926806756805946,0.805301985764302,0.989540325021371,-0.16378389938342644,-0.3123982040001328,-0.015169594766720166,Nucleoplasm
AZD4573 (1h),Unperturbed,7,0.09797219073221457,unnormalised,03_RPS6,0.9066341272776416,0.8198161378139674,1.0026460846895595,-0.14140762710318303,-0.2866277056526173,0.0038124514462512422,PML bodies
AZD4573 (1h),Unperturbed,7,0.026668433952162923,unnormalised,05_GTF2B,0.8632306478908347,0.7786748722006034,0.9569682778540454,-0.2121820081253766,-0.3609070235656262,-0.0634569926851269,Cajal bodies
AZD4573 (1h),Unperturbed,7,0.3484500358076948,unnormalised,05_GTF2B,1.0479944713534772,0.9564167877144594,1.1483407925241818,0.06763110602425627,-0.06428864139591672,0.19955085344442947,Nuclear periphery
AZD4573 (1h),Unperturbed,7,0.011741081403584035,unnormalised,05_GTF2B,0.8236946435484721,0.7361009894607231,0.921711661204942,-0.2798184879219044,-0.44202438431261204,-0.11761259153119663,Nuclear speckles
AZD4573 (1h),Unperturbed,7,0.0031645319809172896,unnormalised,05_GTF2B,0.7937081075471197,0.7160522918146014,0.8797856904969465,-0.33331955252965095,-0.48186314652229667,-0.18477595853700535,Nucleolus
AZD4573 (1h),Unperturbed,7,0.013336341819513152,unnormalised,05_GTF2B,0.8211398330485453,0.7301362844432265,0.9234859844462673,-0.2843001734108071,-0.45376231782707266,-0.11483802899454154,Nucleoplasm
AZD4573 (1h),Unperturbed,7,0.011792378798914194,unnormalised,05_GTF2B,0.8264425050181833,0.7399065426067848,0.9230993034531206,-0.27501363908469334,-0.4345850390546539,-0.115442239114733,PML bodies
AZD4573 (1h),Unperturbed,7,0.020928844140346792,unnormalised,05_Sm,0.8329893343286183,0.7382365362916173,0.9399036717835142,-0.2636300715771156,-0.4378449546726489,-0.08941518848158234,Cajal bodies
AZD4573 (1h),Unperturbed,7,0.515775815129045,unnormalised,05_Sm,1.0368489111761805,0.934771375238389,1.1500733688310323,0.05220568105791945,-0.09731453859494653,0.2017259007107855,Nuclear periphery
AZD4573 (1h),Unperturbed,7,0.010191553154663045,unnormalised,05_Sm,0.7766049858096895,0.6736836981808597,0.8952499602009865,-0.36474712549852495,-0.5698567055193904,-0.15963754547765946,Nuclear speckles
AZD4573 (1h),Unperturbed,7,0.05669392237245658,unnormalised,05_Sm,1.1574678740251227,1.0206997502777926,1.3125621702519448,0.21097215147442192,0.02955854448249133,0.39238575846635254,Nucleolus
AZD4573 (1h),Unperturbed,7,0.03861634518213558,unnormalised,05_Sm,0.8304036401268526,0.7194992638764224,0.9584029340360305,-0.26811532703279195,-0.4749348839501119,-0.06129577011547207,Nucleoplasm
AZD4573 (1h),Unperturbed,7,0.03448772193845801,unnormalised,05_Sm,0.8355180215726078,0.7303612900632208,0.9558151203662194,-0.25925714828488383,-0.4533177919334698,-0.06519650463629782,PML bodies
AZD4573 (1h),Unperturbed,7,7.587677942499977e-4,unnormalised,07_POLR2A,0.7325045623914854,0.6577740653792029,0.8157252804046267,-0.4490903495243919,-0.6043359679642948,-0.29384473108448905,Cajal bodies
AZD4573 (1h),Unperturbed,7,0.3786390662130089,unnormalised,07_POLR2A,0.9622903418180012,0.8881545853682222,1.0426143344993168,-0.05545584589901849,-0.17111729203442785,0.060205600236391,Nuclear periphery
AZD4573 (1h),Unperturbed,7,0.0013705962987998863,unnormalised,07_POLR2A,0.7092156748122028,0.621787346004622,0.808937133621869,-0.49570367240720836,-0.6855068381989617,-0.3059005066154549,Nuclear speckles
AZD4573 (1h),Unperturbed,7,0.29339923223709535,unnormalised,07_POLR2A,0.9181314632672357,0.7923126469407721,1.0639302390237497,-0.12322735320399318,-0.3358582640948565,0.08940355768687021,Nucleolus
AZD4573 (1h),Unperturbed,7,0.002727642018078345,unnormalised,07_POLR2A,0.729877486785326,0.6367522664130197,0.836622300093271,-0.4542737734159372,-0.6511959053474445,-0.2573516414844298,Nucleoplasm
AZD4573 (1h),Unperturbed,7,0.003068949390788032,unnormalised,07_POLR2A,0.7487854687748541,0.6586965411547627,0.8511957224877009,-0.41737565720145325,-0.6023141204001272,-0.23243719400277943,PML bodies
AZD4573 (1h),Unperturbed,7,0.00690414772218398,unnormalised,07_SETD1A,0.8093939676582673,0.7253096803938227,0.9032260461846882,-0.30508599811863857,-0.46333099082628676,-0.14684100541099038,Cajal bodies
AZD4573 (1h),Unperturbed,7,0.2881645793088043,unnormalised,07_SETD1A,1.067168295833439,0.9551853123120639,1.1922798193739172,0.09378771169951365,-0.06614744213877195,0.25372286553779927,Nuclear periphery
AZD4573 (1h),Unperturbed,7,0.01655262977316412,unnormalised,07_SETD1A,0.8164850844954512,0.7192084437680751,0.9269188911504487,-0.292501563933207,-0.4755181361723507,-0.10948499169406335,Nuclear speckles
AZD4573 (1h),Unperturbed,7,0.5360114805540608,unnormalised,07_SETD1A,0.9520120660109925,0.8209389196844956,1.1040126763375275,-0.07094823620297962,-0.2846532097252065,0.14275673731924757,Nucleolus
AZD4573 (1h),Unperturbed,7,0.016455136950410947,unnormalised,07_SETD1A,0.7949716198662722,0.6887890148029849,0.9175231642937431,-0.33102473714322384,-0.5378659608861056,-0.12418351340034242,Nucleoplasm
AZD4573 (1h),Unperturbed,7,0.01625667023824445,unnormalised,07_SETD1A,0.8062096343704986,0.7049419150651153,0.922024865682409,-0.3107730710936943,-0.5044237058862727,-0.1171224363011158,PML bodies
AZD4573 (1h),Unperturbed,7,0.034281394660576885,unnormalised,08_H3K4me3,0.8752705704615721,0.7923234644976699,0.9669012793932962,-0.19219903185921505,-0.33583856690939085,-0.04855949680903913,Cajal bodies
AZD4573 (1h),Unperturbed,7,0.06921366115873549,unnormalised,08_H3K4me3,1.136009726326614,1.0110119942716722,1.276461709278089,0.18397518701081825,0.015800112941833235,0.35215026107980296,Nuclear periphery
AZD4573 (1h),Unperturbed,7,0.009197590340731691,unnormalised,08_H3K4me3,0.8268596718812902,0.7447257670641038,0.9180519155110479,-0.27428558756959914,-0.425218820091964,-0.12335235504723405,Nuclear speckles
AZD4573 (1h),Unperturbed,7,0.19021593820923205,unnormalised,08_H3K4me3,1.1018711181925973,0.9664977274080785,1.2562057071391066,0.13995548705047867,-0.049161754753955074,0.3290727288549124,Nucleolus
AZD4573 (1h),Unperturbed,7,0.07345686454781011,unnormalised,08_H3K4me3,0.8772823581744873,0.7765448823711232,0.9910880277958921,-0.18888683810555865,-0.3648587836643977,-0.012914892546719342,Nucleoplasm
AZD4573 (1h),Unperturbed,7,0.07136300641208675,unnormalised,08_H3K4me3,0.8952686292009915,0.8083597829746901,0.9915212697518841,-0.15960746070346502,-0.30693054747236165,-0.012284373934568549,PML bodies
AZD4573 (1h),Unperturbed,7,4.6825368780691425e-4,unnormalised,09_CCNT1,0.6883643408218545,0.6111095247147895,0.7753855021916969,-0.5387557311698423,-0.7104971279325951,-0.36701433440708964,Cajal bodies
AZD4573 (1h),Unperturbed,7,0.0034616027167928237,unnormalised,09_CCNT1,0.825273825670925,0.7564796798441025,0.9003241005467358,-0.2770552102052494,-0.4026267648338132,-0.15148365557668578,Nuclear periphery
AZD4573 (1h),Unperturbed,7,3.8592618212211506e-4,unnormalised,09_CCNT1,0.653338639215357,0.5728787923412169,0.7450989340124394,-0.6140971299440399,-0.8036981639080969,-0.42449609597998317,Nuclear speckles
AZD4573 (1h),Unperturbed,7,0.027576374557795248,unnormalised,09_CCNT1,0.8229810745532176,0.7171107983402719,0.9444814534104787,-0.2810688403791703,-0.47973205285472625,-0.0824056279036142,Nucleolus
AZD4573 (1h),Unperturbed,7,0.0012148559524120376,unnormalised,09_CCNT1,0.7014192038372067,0.6140972427737832,0.8011579685480794,-0.5116511648648783,-0.7034609693256766,-0.3198413604040799,Nucleoplasm
AZD4573 (1h),Unperturbed,7,6.576224382880577e-4,unnormalised,09_CCNT1,0.691706739008463,0.6108145946887328,0.7833116905687906,-0.5317675828242676,-0.7111935608575327,-0.35234160479100274,PML bodies
AZD4573 (1h),Unperturbed,7,0.0014718519346733803,unnormalised,09_SRRM2,0.815488319719226,0.7534782806133422,0.8826016843606291,-0.294263881596834,-0.4083621688678909,-0.18016559432577675,Cajal bodies
AZD4573 (1h),Unperturbed,7,4.5955904405034014e-5,unnormalised,09_SRRM2,1.3942425658301103,1.2958146159006954,1.5001469411744166,0.47948157847819095,0.37385933562129625,0.5851038213350856,Nuclear periphery
AZD4573 (1h),Unperturbed,7,0.03971693262539385,unnormalised,09_SRRM2,1.0903860021836371,1.0194604318821983,1.1662459832432228,0.1248389467954948,0.02780578140146905,0.2218721121895208,Nuclear speckles
AZD4573 (1h),Unperturbed,7,5.467083292245611e-5,unnormalised,09_SRRM2,1.6593739098889735,1.4797157492445168,1.860845080702869,0.7306390081513443,0.5653200633263277,0.8959579529763608,Nucleolus
AZD4573 (1h),Unperturbed,7,6.167437006495254e-4,unnormalised,09_SRRM2,0.7448309755097171,0.6750755330820092,0.8217942361886224,-0.42501502295062626,-0.5668791629367727,-0.2831508829644799,Nucleoplasm
AZD4573 (1h),Unperturbed,7,0.008009379369878163,unnormalised,09_SRRM2,0.8405273337302562,0.7659700324642331,0.9223418264482596,-0.2506333585955959,-0.38464014511436695,-0.11662657207682495,PML bodies
AZD4573 (1h),Unperturbed,7,0.003356609473783261,unnormalised,10_H3K27ac,0.8192468285520621,0.7488563643118432,0.8962538052399073,-0.2876299120336618,-0.4172390682821907,-0.1580207557851329,Cajal bodies
