well_name,Intensity_sum_22_SE,Nuclei_Intensity_mean_00_EU,mapobject_id_cell,mapobject_id
K19,7502411.673359746,548.309677870591,239950,240025
K19,5609918.3645890085,202.4752902051767,239951,240026
K19,4465024.640454391,246.32976339429248,239954,240029
K19,14488768.204484,350.0548659932099,239956,240031
K19,8805769.53724935,489.8574188641413,239958,240033
K19,8014211.786362288,190.64188045204156,239959,240034
K19,5657091.21205808,329.7383189267605,239960,240035
K19,4655568.095594644,238.64716627501005,239962,240037
K19,6045749.468138575,232.61267194759267,239963,240038
K19,7126557.325389686,229.20404266505702,239966,240041
K19,9453544.871978585,515.8582031558533,239967,240042
K19,5251945.205393513,194.65469705983028,239968,240043
K19,5533961.254860186,178.08402338455153,239969,240044
K19,5784072.388177529,179.74290895901277,239970,240045
K19,6856796.431180324,344.33811621681866,239971,240046
K19,7845260.283157665,189.88952019457525,239972,240047
K19,8067608.189563013,368.14137930841497,239973,240048
K19,6695513.032188469,207.5444524252567,239974,240049
K19,6430573.281957795,187.8355581159312,239975,240050
K19,5748207.204814822,167.70604457715814,239979,240054
K19,6520471.016069764,162.43992627441963,239980,240055
K19,10070112.107192453,362.1495121208242,239981,240056
K19,6180223.959079962,248.76709896863576,239983,240058
K19,5751297.231545518,153.42642473855184,239988,240063
K19,8469058.84418468,214.5799529489565,256340,256416
K19,6142726.367656493,244.37314458138553,256343,256419
K19,10325195.179353563,342.32000847448586,256345,256421
K19,6760890.5068361135,281.94407725882354,256346,256422
K19,4667321.511663107,198.82849474621815,256349,256425
K19,6190356.866811816,283.1531442275351,256350,256426
K19,5116391.546025722,160.91515778684305,256351,256427
K19,6344509.20979732,319.6675204251532,256353,256429
K19,5670613.005166555,246.82202382421377,256354,256430
K19,7403130.909214964,495.7003021899401,256355,256431
K19,5742132.103018903,237.10111057780978,256356,256432
K19,7371337.772441686,247.95127342856333,256357,256433
K19,7542629.034523074,385.5185310073891,256359,256435
K19,9086315.87324449,230.67197034216366,256362,256438
K19,16643862.089840982,299.6338063520151,256363,256439
K19,6362636.976462515,192.65594636095796,256364,256440
K19,8654232.987725459,447.1157159328206,256365,256441
K19,7438939.129963697,263.06116874178656,256367,256443
K19,11070304.795480173,349.5438862142052,256368,256444
K19,7389676.417825056,370.61756925552214,256369,256445
K19,7389150.879187904,289.3068773125709,256371,256447
K19,7023356.089830333,434.9313625496519,256373,256449
K19,8423575.172312899,320.5667136919819,256374,256450
K19,10688124.866274662,235.34817159742482,256375,256451
K19,5960814.699307896,160.7338578744394,256376,256452
K19,5185952.651561405,240.79005330481476,256377,256453
K19,10103836.705749864,248.2738886032531,256379,256455
K19,8589612.998797212,178.53711965254635,256380,256456
K19,5886904.927365606,339.9609411295494,256381,256457
K19,9329675.571263686,312.3555174658665,256383,256459
K19,9848458.091259398,248.83734249191892,256385,256461
K19,9372854.012966488,270.47737886532383,256387,256463
K19,9473646.042078612,282.93933385046404,200847,200935
K19,6687580.7931150105,321.35060324167586,200851,200939
K19,9824992.0303085,425.09742189436406,200852,200940
K19,6049135.622430962,210.225250837187,200853,200941
K19,7123074.997916853,437.33217810812266,200854,200942
K19,5322284.669935222,335.67911200244134,200857,200945
K19,6751981.9051498305,213.94841308544477,200858,200946
K19,7096916.087913523,354.51721316439654,200859,200947
K19,7841981.226382648,357.68774696297373,200860,200948
K19,8076990.049131156,426.8662536948954,200861,200949
K19,14731557.105898775,674.376302287684,200863,200951
K19,4106322.6719239266,169.83919205274094,200864,200952
K19,4618805.946139277,188.2253054516908,200865,200953
K19,6997615.816024229,542.5907933563699,200866,200954
K19,5193266.495133835,142.47927644126713,200867,200955
K19,10082213.15126812,598.631541334225,200868,200956
K19,8070523.8170577735,460.6455100505656,200869,200957
K19,5258388.808483262,197.43276813210684,200871,200959
K19,5486352.604378717,193.98973062882416,200872,200960
K19,7331340.26355901,446.6895494837445,200873,200961
K19,4989352.431905075,196.9820172242998,200874,200962
K19,5264651.769858831,146.94675715618806,200875,200963
K19,4273675.125310902,185.6997186488909,200876,200964
K19,6292519.900208241,360.002180753982,200878,200966
